,points
"OSTERMAN, MELVIN H.",3587
"HUSSEIN I , KING OF HASHEMITE JORDAN",3586
"Ray, James Earl",3584
M GUSSOW,3583
"MOLOTOV, VYACHESLAV MICHAELOVITCH",3580
"HAILSHAM, VISCOUNT",3580
"BLAKE, EUGENE CARSON",3579
"Peron, Juan Domingo",3578
"HAISE, FRED W JR.",3578
"ALIOTO, JOSEPH L",3577
"MACAPAGAL, DIOSDADO",3577
"MCDIVITT, JAMES A.",3577
"CHOU EN-LAI, PREMIER",3577
"Oppenheimer, J Robert",3577
"IRENE EMMA ELISABETH, PRINCESS OF ORANGE-NASSAU AND PRINCESS OF LIPPE-BIESTERFELD",3576
"GUINAN, MATTHEW",3576
"Nixon, Patricia",3576
"SOUVANNA PHOUMA, PREMIER",3575
"SALAN, RAOUL ALBIN-LOUIS",3574
"Durdin, Tillman",3574
"GILBERT, EDWARD M.",3574
"SYLVESTER, ARTHUR",3574
"CONRAD, CHARLES JR.",3574
"Goulart, Joao",3573
"GIBSON, KENNETH A.",3572
"SUSLOV, MIKHAIL A.",3572
"BRYDGES, EARL W.",3572
"TOBIN, AUSTIN J.",3572
"Casals, Pablo",3572
"GORE, ALBERT",3571
"Katzenbach, Nicholas DeB",3571
"HAILE SELASSIE, EMPEROR OF ETHIOPIA",3571
"SHOUP, DAVID MONROE",3570
"Jones, J Raymond",3569
"BRENNAN, PETER J.",3567
"Steinbeck, John",3566
"MENON, VENGALIL KRISHNAN KRISHNA",3566
"Pearson, Lester B",3566
"MALINOVSKY, RODION Y.",3566
"CYRANKIEWICZ, JOZEF",3565
Chen Yi,3564
"COX, EDWARD FINCH",3562
"MCCORMACK, JOHN W",3562
"HOOVER, JOHN EDGAR",3561
"Eagleton, Thomas F",3561
NORODOM SIHANOUK,3560
"Hirohito, Emperor of Japan",3560
"Galbraith, John Kenneth",3560
"BARBER, ANTHONY",3560
"REUTHER, WALTER P",3559
"Stennis, John C",3559
"ERVIN, SAM J JR",3559
"BELLA, MOHAMMED BEN",3558
"CASSESE, JOHN J.",3558
"WEISS, THEODORE S.",3558
"POWELL, LEWIS F JR.",3557
"ZUCKERT, EUGENE M.",3557
"CELEBREZZE, ANTHONY J.",3556
"SHAFER, RAYMOND P",3555
"BRODERICK, VINCENT LYONS",3554
"Wicker, Tom",3546
"MCCORMACK, JOHN W.",3544
"Proxmire, William",3536
"Hodgson, James D",3536
"Rankin, J Lee",3534
"ROCKEFELLER, WINTHROP",3534
"Ribicoff, Abraham A",3518
"KENNEDY, DAVID MATTHEW",3487
"HARDIN, CLIFFORD MORRIS",3486
"Lefkowitz, Louis J",3482
"Stravinsky, Igor",3077
"Nabokov, Vladimir",3076
"COFFIN, WILLIAM SLOANE JR",3073
