,points
"DECAVALCANTE, SAM",2045
"TAFT, ROBERT JR",2045
"GVISHIANI, LYUDMILA A",2045
"Sanchez Vilella, Roberto",2045
"ADAMS, WARREN C.",2045
"BLOUGH, ROGER MILES",2045
"Kollek, Teddy",2045
"BOYLE, W A.",2045
"ILLIA, ARTURO",2045
"BARGHOORH, FREDERICK CHARLES",2045
"ROLVAAG, KARL F.",2045
"Costello, Frank",2045
"Kerr, Clark",2045
"Frost, Robert",2045
"Kahane, Meir",2044
"LOUTFI, OMAR",2044
"MESSMER, PIERRE",2044
"Kefauver, Estes",2044
"FAUBUS, ORVAL EUGENE",2044
LE DUC THO,2044
"Whitney, John Hay",2044
"BEATRIX, CROWN PRINCESS OF THE NETHERLANDS",2044
"THOMPSON, ROBERT GLENN",2044
"LANE, MARK",2044
"BAYH, BIRCH EVAN JR.",2044
"BUNDY, WILLIAM P.",2044
"Goodman, Andrew",2044
"Dobrynin, Anatoly F",2044
"STENNIS, JOHN C.",2044
"PODGORNY, NIKOLAI V.",2044
"WINDSOR, DUKE OF",2043
"SAIF AL-ISLAM MOHAMMED AL-BADR, CROWN PRINCE",2043
"TRAN VAN HUONG, PREMIER",2043
"MIKOYAN, ANASTAS I",2043
"Bond, Julian",2043
"Stoph, Willi",2043
"SAUNDERS, STUART T.",2043
"MACKELL, THOMAS J",2043
"KEKKONEN, URHO KALEVA",2043
"Wilson, Edmund",2043
"HAJEK, JIRI",2043
"GRAY, JESSE",2043
"CHAGLA, MAHOMEDALI CURRIM",2042
"CALLAWAY, HOWARD H.",2042
"RIZZO, FRANK L",2042
"LAPORTE, PIERRE",2042
"Hesburgh, Theodore M",2042
"BEAME, ABRAHAM D.",2042
"Nixon, Julie",2042
"BARNES, HENRY A.",2042
"KUNSTLER, WILLIAM M.",2042
"KUCHEL, THOMAS HENRY",2042
PHAN HUY QUAT,2042
"WYNNE, GREVILLE M.",2042
"WEINTRAUB, JOSEPH",2042
"DIVINE, FATHER",2042
"Bohr, Niels",2042
"Resor, Stanley R",2042
"SCHIRRA, WALTER M JR.",2042
"SPARKMAN, JOHN J.",2041
"HOGAN, FRANK S",2041
"Kopechne, Mary Jo",2041
"RHEAULT, ROBERT B",2041
HA VAN LAU,2041
"Manescu, Corneliu",2041
"SUTTON, PERCY ELLIS",2041
"TITOV, GHERMAN S.",2041
"WEINBERG, HARRY",2041
"STRAUSS, FRANZ JOSEF",2041
"VOLKOV, VLADISLAV N.",2041
"PERICONI, JOSEPH FRANCIS",2041
"Rehnquist, William H",2040
"SCRIBNER, HARVEY B",2040
"MADDOX, LESTER G",2040
"Nasution, Abdul Haris",2040
"NEWTON, HUEY P.",2040
"LEVY, HARRY L.",2040
"DEFFERRE, GASTON",2040
"LOEB, LOUIS MELVILLE",2040
"MUSCAT, VICTOR",2040
"SCHWERNER, MICHAEL H.",2040
"NORSTAD, LAURIS",2040
NGUYEN VAN LOC,2040
"Evers, Charles",2040
"ANNE ELIZABETH ALICE LOUISE, PRINCESS OF EDINBURGH",2040
"Schlesinger, James R",2040
TRUONG DINH DZU,2040
"RIKHYE, INDAR JIT",2039
"ALDRICH, ALEXANDER",2039
"KOSTER, SAMUEL W",2039
"WEAVER, ROBERT C.",2039
"HALLECK, CHARLES A.",2039
"WESTMORELAND, WM CHILDS",2039
"Jones, LeRoi",2039
"DAVIS, RENNIE",2039
"WEISMAN, LAWRENCE I.",2039
"CUITE, THOMAS J",2039
"ABUBAKAR TAFAWA BALEWA, ALHAJI",2039
"CARBERRY, JOHN J",2039
"Biaggi, Mario",2039
"MCKEON, WILLIAM HENRY",2039
"MCCARTHY, EUGENE J.",2039
"MINOW, NEWTON N.",2038
"CONNOR, JOHN THOMAS",2038
"LEMAY, CURTIS E",2038
"CLAY, LUCIUS DUBIGNON",2038
"Peyrefitte, Alain",2038
"Bowker, Albert H",2038
CHENG HENG,2038
"Mitterrand, Francois",2037
"Eliot, Thomas Stearns",2037
"ARIF, ABDEL SALAM",2037
"FORD, GERALD R JR.",2037
"POMPIDOU, GEORGES JEAN RAYMOND",2037
"KIESINGER, KURT GEORGE",2037
"STRATTON, SAMUEL S.",2037
"Sargent, Francis W",2037
"CHAFFEE, ROGER B",2036
"KIERNAN, EDWARD J.",2036
"Chaban-Delmas, Jacques",2036
"RYAN, WILLIAM FITTS",2036
"Morgenthau, Henry Jr",2036
"CODY, JOHN PATRICK",2036
"MALIK, YAKOV ALEKSANDROVICH",2036
"PUSEY, NATHAN M",2036
"Train, Russell E",2036
"STEINGUT, STANLEY",2036
"WAGNER, DUNCAN EDWARDS",2036
"MCCLOY, JOHN JAY",2036
"Waldheim, Kurt",2035
"MADDOX, LESTER GARFIELD",2035
"LUNS, JOSEPH M A H.",2035
"FURNESS, BETTY",2035
"MURPHY, MICHAEL J.",2035
"Alsop, John",2034
"STARK, ABE",2034
"MCCORMACK, JOHN WM.",2034
"MENZIES, ROBERT GORDON",2034
"Black, Eugene Robert",2034
"MANN, THOMAS C.",2034
"DEWEY, THOMAS E",2034
"VOLOSHEN, NATHAN M.",2033
"EVERS, MEDGAR WILEY",2033
"CAETANO, MARCELLO",2033
"RICKOVER, HYMAN G",2033
"MESKILL, THOMAS J",2032
"ENGLE, CLAIR",2032
"WALSH, LAWRENCE E.",2032
"KRIEGEL, JAY",2032
"MAHON, GEORGE H.",2031
"RHODES, JOSEPH JR.",2031
"CROSS, JAMES RICHARD",2031
"MAYE, MICHAEL J.",2031
Lee Kuan Yew,2031
"ROSE, ALEX",2031
"DEMPSEY, JOHN NOEL",2030
"Lawford, Patricia Kennedy",2030
"MARTIN, EDWIN M.",2030
"RUBIN, JERRY C.",2029
"Zhivkov, Todor",2029
"ANNENBERG, WALTER H",2028
"COSTELLO, TIMOTHY WILLIAM THOMAS",2028
"Healey, Denis",2028
TRAN BUU KIEM,2027
"HOOVER, HERBERT C SR",2027
"Buckley, James L",2027
"Daddario, Emilio Q",2027
"DOUGLAS, WM O.",2027
"ROSENTHAL, ABRAHAM M.",2026
"ROSTOW, WALT WHITMAN",2026
"FINCH, ROBERT H",2024
"SCHULTZE, CHARLES L.",2024
"Schumann, Maurice",2023
"HABIB, PHILIP C.",2022
"UNRUH, JESSE M",2022
"COOK, MARLOW W",2019
"LINDSAY, JOHN V.",2019
"TAYLOR, GEORGE W.",2018
"BAUMGARTNER, LEONA",2018
"Steichen, Edward",2017
"KROSS, ANNA M.",2017
"HAYDEN, CARL",2017
"Paterson, Basil A",2015
"REID, OGDEN R",2012
"KERNER, OTTO",2011
"Percy, Charles H",2011
"ALBAREDA, ANSELMO",2010
"GOLAR, SIMEON",2008
"ROWAN, CARL T.",2007
"DOLE, ROBERT J",2007
"EHRLICHMAN, JOHN D.",2006
"Kretchmer, Jerome",2004
"HARTKE, VANCE",1999
"Randolph, A Philip",1997
"Byrd, Robert C",1995
"BOLDT, GEORGE H",1994
"FITZSIMMONS, FRANK E.",1992
"AIKEN, GEORGE D",1992
"Mondale, Walter F",1981
"Hruska, Roman L",1981
"HART, PHILIP A",1979
"KANTROWITZ, ADRIAN",1539
"RADZIWILL, STANISLAS AND LEE",1539
"CUNNINGHAM, WALTER",1539
"ALDRIN, EDWIN EUGENE JR.",1539
"NIARCHOS, STAVROS SPIROS",1539
"Ginsberg, Allen",1539
"Goodman, Mitchell",1539
"AUCHINCLOSS, L",1539
"TARR, CURTIS W",1539
"HICKENLOOPER, BOURKE BLAKEMORE",1538
"BALDWIN, HANSON W",1538
"ARRUPE, PEDRO",1538
"BLAU, HERBERT",1538
"Loesser, Frank",1538
"LEONOV, ALEKSEI ARKHIPOVICH",1538
E ALBEE,1538
"Joplin, Janis",1538
"Hemingway, Ernest",1538
"HARDING, WARREN GAMALIEL",1538
"Bellow, Saul",1538
"Pound, Ezra",1538
"Remarque, Erich Maria",1538
"Wiener, Norbert",1538
"LEHMAN, ROBERT",1538
"SCOTT, DAVID R.",1538
"WILLIAMS, WM CARLOS",1538
"ROMANOVSKY, SERGEI K.",1538
"Updike, John",1538
"RUSK, HOWARD A.",1537
"ROSTOW, EUGENE V",1537
"Nash, Ogden",1537
"KRAFT, CHRISTOPHER C JR.",1537
E O'NEILL,1537
"SEABORG, GLENN THEODORE",1537
"WASHKANSKY, LOUIS",1537
"Keller, Helen",1537
"KEPPEL, FRANCIS",1537
"Chavez, Cesar",1537
"Hopper, Edward",1537
"SCRIBNER, HARVEY BERTRAM",1537
"NIEVES, JOSEPHINE",1537
PENG CHEN,1536
"MARTINIS, GARETH",1536
"GENOVESE, VITO",1536
"GENTELE, GOERAN",1536
"GARDEN, MARY",1536
"SMITH, EDGAR H JR.",1536
"Perkins, James A",1536
"ROBERTSON, A WILLIS",1536
"Kawabata, Yasunari",1536
"ARMSTRONG, LOUIS",1536
"Winchell, Walter",1536
"LUKACS, GYORGY",1536
"MOORE, DAVEY",1536
"Mellon, Paul",1536
"CAMPBELL, DONALD",1536
"GUTHRIE, TYRONE",1536
"IRVING, JULES",1536
"POUND, ROSCOE",1536
"HERSHEY, LEWIS B",1536
"SCHICK, BELA",1536
"STEFANSSON, VILHJALMUR",1536
"Jackson, Mahalia",1536
"Lloyd, Harold",1536
"IKEDA, HAYATO",1536
R BOLT,1536
"WARD, STEPHEN THOMAS",1536
"Colum, Padraic",1536
"Romains, Jules",1536
"BLACK, FRED B JR.",1536
"COOLEY, HAROLD D.",1536
"HALEVI, BENYAMIN",1536
"WOLFE, JAMES E.",1536
"CRIMMINS, ALICE",1536
"STAHR, ELVIS J JR.",1536
"HUROK, SOL",1536
"MCSHANE, JAMES JOSEPH PATRICK",1536
J FEIFFER,1536
"NOSSENKO, YURI I.",1536
"JORDAN, CHARLES H",1536
"BARZEL, RAINER",1536
ABD EL KRIM EL KHATTABI,1536
"Romney, George",1536
"Hamilton, George",1536
"MCLUCAS, LONNIE",1536
FLEMING,1535
"EISELE, DONN F",1535
"MOBUTU, JOSEPH D.",1535
"MOORE, ARCH A JR",1535
"PEARSON, LESTER B.",1535
"Holliday, Judy",1535
"HOVING, WALTER",1535
"Halberstam, David",1535
"SIEMILLER, PAUL LEROY",1535
"ARIAS, ARNULFO",1535
"DEVLIN, BERNADETTE",1535
"GRECHKO, ANDREI A",1535
"ROSENBERG, ANNA M.",1535
"SUSLOV, MIKHAIL ANDREYEVICH",1535
"SEALE, BOBBY G.",1535
"MCDONALD, DAVID J.",1535
"SMITH, IAN DOUGLAS",1535
"OBOTE, APOLLO MILTON",1535
"GALAMISON, MILTON ARTHUR",1535
"LEHMAN, HERBERT HENRY",1535
"BETANCOURT, ROMULO",1535
"PASSMAN, OTTO E.",1535
"STRUELENS, MICHEL",1535
"NYQUIST, EWALD B",1535
LE DUAN,1535
"PIPINELIS, PANAYOTIS",1535
"Bonanno, Joseph",1535
"HENTEL, NAT H.",1535
"CHANEY, JAMES EARL",1535
"PAZ ESTENSSORO, VICTOR",1535
"de Valera, Eamon",1535
"Disney, Walt",1535
"Teller, Edward",1535
"CARADON OF ST CLEER, LORD",1535
"PHOUMI NOSAVAN, DEPUTY PREMIER",1535
"SARNOFF, ROBERT W.",1535
"PENKOVSKY, OLEG V",1534
"Sobell, Morton",1534
"MITCHELL, JOSEPH MCD.",1534
"Beckwith, Byron de La",1534
"Coward, Noel",1534
"LEWIS, ROGER",1534
"Dos Passos, John",1534
"BINGHAM, JONATHAN B.",1534
A PATON,1534
"NIMEIRY, GAAFAR MOHAMMED AL-",1534
"DUTSCHKE, RUDOLF",1534
"COSTA E SILVA, ARTHUR DA",1534
"BRUMLEY, LELAND J",1534
"EFFIONG, PHILIP",1534
"FRAIMAN, ARNOLD GUY",1534
P WEISS,1534
"Rockefeller, Mary Clark",1534
"SWEET, ROBERT WORKMAN",1534
"HARKINS, PAUL D.",1534
"NYERERE, JULIUS KAMBARAGE",1534
"BELLI, MELVIN MOURON",1534
"Pahlevi, Mohammed Riza",1534
"SAUD IBN ABDUL AZIZ, EX-KING OF SAUDI ARABIA",1534
"RUMMEL, JOSEPH FRANCIS",1534
"TOURE, SEKOU",1534
"GOWON, YAKUBU",1534
"ZAYYAT, MOHAMMED H EL-",1534
"Terenzio, Joseph V",1534
"MELLON, RICHARD KING",1534
"GRISWOLD, A WHITNEY",1534
"Muni, Paul",1534
"Chafee, John H",1534
"Cox, Archibald",1534
"BAKR, AHMED HASSAN AL-",1534
"COOPER, L GORDON JR.",1534
"Oswald, Lee Harvey",1534
"TERRY, LUTHER LEONIDAS",1534
"Buber, Martin",1534
VERDI,1534
"GLEASON, THOMAS W.",1533
"CASTELO BRANCO, HUMBERTO DE ALENCAR",1533
"Qaddafi, Muammar el-",1533
"SLOAN, ALF P JR",1533
"BOUN OUM, PREMIER",1533
"YOUNG, WHITNEY M JR.",1533
"THOMPSON, R G",1533
"BIDAULT, GEORGES",1533
"AROSEMENA MONROY, CARLOS JULIO",1533
"SPENO, EDWARD J",1533
"WOOLDRIDGE, WILLIAM O",1533
"MEYER, MATT",1533
"DANIEL, YULI M",1533
"OUFKIR, MOHAMMED",1533
"MURPHY, AUDIE",1533
"HOOVER, HERBERT CLARK SR.",1533
"KRIM, BELKACEM",1533
"SCHOR, BENJAMIN H.",1533
"McLain, Denny",1533
"OLIVER, C HERBERT",1533
"BROWN, GEORGE ALFRED",1533
"LODGE, GEORGE CABOT",1533
"LEHMAN, HERBERT H",1533
"Yevtushenko, Yevgeny",1533
"Brown, H Rap",1533
"Mihajlov, Mihajlo",1533
"LANDAU, MOSHE",1533
"LEMA, TONY",1533
"SHELTON, ROBERT M JR.",1533
"BATTISTA, VITO P",1533
"Liuzzo, Viola Gregg",1533
"POWERS, BERTRAM A.",1533
"HADAS, MOSES",1533
"Wilder, Thornton",1533
"LITVINOV, PAVEL M.",1533
"TVARDOVSKY, ALEKSANDR T.",1533
"MIKOYAN, ANASTAS IVANEVICH",1533
"ROOSEVELT, JOHN A.",1533
"Guevara, Ernesto",1533
"GRIVAS, GEORGE THEODORUS",1533
"DELLINGER, DAVID T.",1533
"Williams, Harrison A Jr",1533
"ALDRICH, RICHARD STEERE",1533
"ASTOR, VISCOUNT",1533
"Fall, Bernard B",1533
"GRECHKO, ANDREI A.",1532
"FREDERIKA, QUEEN OF GREECE",1532
"MYRDAL, KARL GUNNAR",1532
"YARBOROUGH, RALPH W",1532
"BROWN, HOWARD J.",1532
"HOFF, PHILIP H.",1532
"GILLIGAN, JOHN J",1532
"CARRINGTON, PETER ALEXANDER RUPERT",1532
"LAMORTE, ANTHONY P.",1532
"STOKES, CARL B.",1532
"RADZIWILL, STANISLAS",1532
"GILLIGAN, THOMAS R.",1532
"MAHGOUB, MOHAMMED ABDEL KHALEK",1532
"Cranston, Alan",1532
"HOVING, THOMAS PEARSALL FIELD",1532
"Bernstein, Leonard",1532
"SCHIRRA, WALLER M JR",1532
"CURTIN, WILLIAM JOSEPH",1532
"FAISAL IBN ABDUL-AZIZ AL SAUD, KING OF SAUDI ARABIA",1532
"LANUSSE, ALEJANDRO AGUSTIN",1532
"HOLLEBEN, EHRENFRIED VON",1532
"KAHANER, ELLIOTT",1532
"STAFFORD, JEAN",1532
"BURNS, JOHN J",1532
"MIZUTA, MIKIO",1532
"BARUCH, BERNARD M",1532
"RIFKIND, SIMON H.",1532
"ALLEN, JAMES E JR",1532
"RIGERMAN, LEONID C",1532
"Berrigan, Philip F",1532
DO MAU,1532
NGUYEN NGOC LOAN,1532
"KYPRIANOU, SPYROS ACHILLES",1532
"SMITH, HOWARD W.",1532
"BUDO, HALIM",1532
"SEEDMAN, ALBERT A",1531
"DALEY, RICHARD J.",1531
"GINSBERG, MITCHELL I",1531
"NUNN, LOUIE B",1531
"JOHNSON, HEWLETT",1531
"DOBROVOLSKY, GEORGI T",1531
"Robb, Charles S",1531
"SIK, OTA",1531
"WORTHINGTON, LESLIE B.",1531
"Knauer, Virginia H",1531
"HOGAN, FRANK SMITHWICK",1531
"KATZENBACH, NICHOLAS DE BELLEVILLE",1531
"RADHAKRISHNAN, SARVEPALLI",1531
"TRAVIA, ANTHONY JOHN",1531
"SCHLAGER, WALTER L JR.",1531
"SEYMOUR, WHITNEY NORTH JR.",1531
"Martin, William McChesney Jr",1531
K SHAH,1531
"GAVIN, JAMES M",1531
"Cleveland, Harlan",1531
"SHELEPIN, ALEKSANDR NIKOLAYEVICH",1531
"ELLIS, WILLIAM B",1531
"VAN ARSDALE, HARRY JR",1531
"MCCLELLAN, JOHN LITTLE",1531
"COPELAND, JOSEPH J",1531
"Clemente, Roberto",1530
"ALBANO, VINCENT F JR",1530
"Perrotta, Fioravante G",1530
"Sadat, Anwar El-",1530
"Temple, Shirley",1530
"LUCE, CHARLES F.",1530
"LUCE, CLARE BOOTH",1530
"WALLACE, LURLEEN B",1530
"BRYANT, FARRIS",1530
"MORSE, WAYNE LYMAN",1530
"DEMPSEY, JOHN N.",1530
"MADDOX, LESTER G.",1530
"ITKIN, HERBERT",1530
"BAKER, ROBERT GENE",1530
"Churchill, Clementine",1530
"POWERS, FRANCIS GARY",1530
"HATCHETT, JOHN F.",1530
"Peabody, Endicott",1530
"DESMOND, CHARLES STEWART",1530
"SHAHI, AGHA",1530
"Mailer, Norman",1530
"YAKUBOVSKY, IVAN I",1530
"RAFFERTY, MAX",1530
"RAVEH, ITZHAK",1530
"Wilson, Ben",1530
"HASSEL, KAI-UWE VON",1530
"TROY, MATTHEW J JR",1530
"ORLICH, FRANCISCO J.",1530
"HASSAN II, KING OF MOROCCO",1530
"STEVENSON, JOHN FELL",1530
"PALMER, ARTHUR EDWARD JR.",1529
"Casey, William J",1529
"RUSH, KENNETH",1529
"MONTINI, GIOVANNI BATTISTA",1529
"FORD, GERALD R JR",1529
"Sheen, Fulton J",1529
"Zumwalt, Elmo R Jr",1529
"SHARAF, ABDUL HAMID",1529
"TATE, JAMES H J.",1529
"THOMPSON, LLEWELLYN E JR",1529
"HAMADALLAH, MOHOMMED FAROUK OSMAN",1529
"FAUBUS, ORVAL E.",1529
"KUZNETSOV, VASILY VASILYEVICH",1529
"KAMARAJ, KUMARASWAMI",1529
"Keating, Kenneth B",1529
"JENKINS, WALTER WILSON",1529
"MCINTYRE, JAMES FRANCIS",1529
"ROBERTS, ALTON WAYNE",1529
J GELBER,1529
"SANDERS, CARL E.",1529
"CONANT, JAMES BRYANT",1529
"Garrett, Sylvester",1529
"Muhammad, Elijah",1528
PHAM DANG LAM,1528
"COUSINS, FRANK",1528
"FERBER, MICHAEL K.",1528
"POTOFSKY, JACOB S.",1528
"BETHE, HANS ALBRECHT",1528
"MORTON, THRUSTON B.",1528
"TENNEY, CHARLES H.",1528
"KHRUSHCHEV, NIKITA SERGEYEVITCH",1528
"NOEL, CLEO A JR",1528
"SWEIG, MARTIN",1528
"MARCUS, JAMES LEWIS",1528
"SEPER, FRANJO",1528
"SUBANDRIO, RODEN",1528
"EBAN, ABBA S.",1528
"WHELAN, THOMAS J",1528
"MITRIONE, DAN A",1528
"MARLAND, SIDNEY P JR",1528
"MENG, JOHN J.",1528
"CLIFFORD, CLARK M.",1528
"BUTCHER, WILLARD C.",1528
"MEYNER, ROBERT BAUMLE",1528
"FEINSINGER, NATHAN PAUL",1528
"PAZHWAK, ABDUL RAHMAN",1528
"GARCIA-INCHAUSTEGUI, MARIO",1528
"FRIED, HENRY",1528
"SHARP, MITCHELL",1528
"MINDSZENTY, JOZSEF",1528
"JACKLING, ROGER WILLIAM",1527
"KENNAN, GEORGE F.",1527
"KULAKOV, FYODOR D.",1527
"Sandys, Duncan",1527
"SEYDOUX, ROGER",1527
"SARIT THANARAT, PREMIER",1527
"O'BRIEN, LAWRENCE F",1527
"CANNON, HOWARD W.",1527
"Maurer, Ion Gheorghe",1527
"RIFKIND, SIMON HIRSCH",1527
"PETER, SAINT",1527
"PAUL, SAINT",1527
"Volcker, Paul A",1527
"Mendes-France, Pierre",1527
"HAYES, FREDERICK O'TEILLY",1527
"Thomas, Norman",1527
"Hoffman, Abbie",1527
"Lombardi, Vince",1527
"TAFT, SETH CHASE",1527
"HOWE, HAROLD 2D",1527
"RAMEY, JAMES T.",1527
"VOLPE, JOHN A",1526
"Hall, Gus",1526
"ABRASIMOV, PYOTR A",1526
"JACK, HULAN E",1526
"NUGENT, PATRICK J",1526
"Smith, Stephen E",1526
"LODGE, JOHN DAVIS",1526
"BIANCONE, JOSEPH",1526
"HOLLY, SEAN M",1526
"GAVIN, JAMES MAURICE",1526
"BILAK, VASIL",1526
"ATTASSI, NUREDDIN AL-",1526
"REID, OGDEN ROGERS",1526
"HOME, ALEC DOUGLAS-",1526
"PRITCHETT, LAURIE",1526
"BOUDIAF, MOHAMMED",1526
"SOBELL, M",1525
"BRENNAN, WILLIAM J JR.",1525
"NAGAKO, EMPRESS OF JAPAN",1525
"SALISBURY, HARRISON E.",1525
"VICARO, RALPH",1525
TON DUC THANG,1525
"STEWART, MICHAEL NORMAN FRANCIS",1525
"CAREY, HUGH L.",1525
"STIKKER, DIRK U.",1525
"MOTTO, DANIEL J.",1525
"KOSYGIN, ALEKSEL NIKOLAYEVICH",1524
"BEN GURION, DAVID",1524
"BEN ZVI, ITZHAK",1524
"DEWEY, THOMAS E.",1524
"HALABY, NAJEEB E.",1524
"HOOKER, JOHN JAY JR.",1524
"SHEEN, FULTON J.",1524
"SHEHAN, LAWRENCE JOSEPH",1524
"CODD, MICHAEL J",1524
"SMYLIE, ROBERT E.",1524
"KROLL, HANS",1524
"Peale, Norman Vincent",1524
"CHURCHILL, WINSTON L S",1524
"JENKINS, ROY H",1524
"Rustin, Bayard",1523
"Tydings, Joseph D",1523
"KENNEDY, DAVID M.",1523
"Russell, Richard B",1523
"LONGSTRETH, WILLIAM THATCHER JR.",1523
"DONEGAN, HORACE W B",1523
"HEENAN, JOHN CARMEL",1523
"HAILE SELASSIA, EMPEROR OF ETHIOPIA",1523
"FOUCHET, CHRISTIAN",1523
"Zindel, Paul",1523
"ALBERTZ, HEINRICH",1523
"Marshall, Burke",1523
"BOHLEN, CHARLES EUSTIS",1523
"PERKINS, CARL DEWEY",1523
"VANDEN HEUVEL, WILLIAM J.",1523
"BLISS, RAY C",1523
"SHEPARDSON, CHARLES N.",1522
"ORTOLI, FRANCOIS-XAVIER",1522
"PACKARD, DAVID",1522
"ABZUG, BELLA S",1522
"Weicker, Lowell P Jr",1522
"SUGARMAN, JULE M",1521
"CROSLAND, ANTHONY",1521
"AKALOVSKY, ALEXANDER",1521
"BOWDEN, HERBERT",1520
"TRAVIA, ANTHONY J",1520
"COWLES, GARDNER",1520
"AILES, STEPHEN",1520
KAO LIANG,1520
"BOWERS, SAM HOLLOWAY JR.",1520
"HOME, ALEC DOUGLAS­",1520
"DEL BELLO, ALFRED B",1520
"FELDMAN, MYER",1519
"KAISER, EDGAR F.",1519
"MANISCALCO, ALBERT V.",1519
"LESECHKO, MIKHAIL A.",1519
"BAUDOUIN I, KING OF THE BELGIANS",1519
"CAPEHART, HOMER E.",1518
"BOHLEN, CHARLES E.",1518
"LOMENZO, JOHN P.",1517
"Sartre, Jean-Paul",1517
"CONNALLY, JOHN BOWDEN JR.",1517
"GARNER, JOHN NANCE",1517
"Corning, Erastus 2d",1517
"FINCH, ROBERT HUTCHINSON",1517
"la Guardia, Fiorello H",1517
"BERAN, JOSEF",1516
"FRENCH, ELEANOR CLARK",1516
"MAHONEY, WALTER J.",1516
"BROWN, HAROLD",1516
"BOWLES, CHESTER",1516
"KENNEDY, ROBERT FRANCIS JR.",1516
"SCHLESINGER, ARTHUR MEIER JR.",1516
"BARNETTE, HORACE DOYLE",1515
"MUNOZ MARIN, LUIS",1515
"EASTLAND, JAMES O",1515
"DANTE, ENRICO",1515
"ROOSEVELT, JAMES",1514
"Lewisohn, Richard",1514
"RAYBURN, SAMUEL TALIAFERRO",1514
"WILLIAMS, T HARRY",1514
"MCGRATH, GEORGE F",1513
"SCHWEITZER, MITCHELL D",1513
"WILLIAMS, JOHN BELL",1513
"KHEDDA, BENYOUSSEF BEN",1512
"STRATTON, SAMUEL STUDDIFORD",1512
"Niebuhr, Reinhold",1512
"WASHINGTON, WALTER EDWARD",1512
"ALLEN, JAMES EDWARD JR",1511
"KROL, JOHN JOSEPH",1510
"Weinberger, Caspar W",1509
"WAGNER, ROBERT FERDINAND JR.",1509
"DUDLEY, EDWARD R",1508
"ROOSEVELT, FRANKLIN D",1508
"DAY, JAMES EDWARD",1508
"BROWN, LEO",1507
"HARLOW, BRYCE N.",1507
"RANDALL, CLARENCE B.",1506
"DUFFEY, JOSEPH D",1506
"LINOWITZ, SOL MYRON",1504
"SMITH, HOWARD K.",1504
"Sontag, Susan",1503
"Heckscher, August",1501
"ASH, ROY L.",1499
"Ruskin, Robert K",1495
"Chancellor, John",1494
"BURNS, JOHN J.",1494
"ROGERS, WILLIAM P.",1491
"Walinsky, Adam",1491
"JACOBY, NEIL H",1485
"HARRIS, FRED R",1482
"GORDON, KERMIT",1481
"BYRD, HARRY F JR",1477
"Hughes, Harold E",1465
"KASPERAK, MIKE",1026
"Smith, Francis X",1026
"Bow, Clara",1026
"KILLY, JEAN-CLAUDE",1026
"Duchamp, Marcel",1026
"HEMINGWAY, E",1026
"MURROW, EDWARD ROSCOE",1026
"DASSAULT, MARCEL",1026
S MICHAELS,1026
"Radziwill, Lee",1026
"BEREGOVOI, GEORGI T",1026
"BECK, JULIAN, AND JUDITH MALINA",1026
P CHAYEFSKY,1026
"Fleming, Ian",1026
"NIARCHOS, STAVROS SPYROS",1026
"CRICK, FRANCIS HARRY COMPTON",1026
"SHUBERT, LEE J",1026
"MOORE, SANFORD J.",1026
"Miller, Henry",1026
"Reynolds, Debbie",1026
"Chevalier, Maurice",1026
"Friedmann, Wolfgang G",1026
ATHENAGORAS I,1026
RODGERS,1026
T WILLIAMS,1026
"PARRAN, THOMAS",1026
"Crick, Francis H C",1026
J OSBORNE,1026
"KROCK, ARTHUR",1026
"JASPERS, KARL",1026
"Blitzstein, Marc",1026
"MBOYA, TOM",1026
"HUPE, DALE C",1026
"NUGENT, PATRICK JOHN",1026
"KIENAST, WILLIAM",1026
"KILGORE, BERNARD",1026
"YOUSSOUPOFF, IRINA",1026
"Lillehei, C Walton",1026
A MILLER,1026
"WASSERBURG, GERALD J",1026
"WALKER, HERBERT V",1026
"DUROVIC, STEVAN AND MARK",1026
"RE, GERARD F AND GERARDO A",1026
"VOZNESENSKY, ANDREI A.",1026
R NEMIROFF,1026
J-C VAN ITALLIE,1026
"WAGNER, ROBT F",1026
"MINICHIELLO, RAPHAEL",1026
"COOK, DONALD",1026
"Beckett, Samuel",1026
"Pirandello, Luigi",1026
"Williamson, Nicol",1026
"Ray, Nicholas",1026
"KOMAROV, VLADIMIR MIHAILOVICH",1026
"Fischer, Andrew",1026
"HOCHHUTH, RALF",1026
CHEKHOV,1026
"RICHARDS, GAIL",1026
M BENNETT,1026
"RICKENBACKER, EDWARD V",1025
"MELCHIOR, LAURITZ",1025
"Serkin, Peter",1025
"SZIGETI, JOSEPH",1025
"ADEBO, S O.",1025
"Vidal, Gore",1025
"Marx, Harpo",1025
"JONES, ROBERT TYRE JR",1025
"WILSON, CHARLES EDWARD",1025
"Shawn, Ted",1025
"GULBENKIAN, NUBAR",1025
"PICCARD, AUGUSTE",1025
"ARIF, ABDEL RAHMAN",1025
"ST DENIS, RUTH",1025
"Klemperer, Otto",1025
"Monteux, Pierre",1025
"CONDON, EDDIE",1025
"Warren, Robert Penn",1025
"Freud, Sigmund",1025
"WEINBERG, SIDNEY J",1025
"PIMENTEL, GEORGE C",1025
"KUBASOV, VALERY N.",1025
"Powell, Dick",1025
"Farrar, Geraldine",1025
"ELMAN, MISCHA",1025
"Shaffer, Peter",1025
D GREENBURG,1025
"Namath, Joe",1025
