,points
HIGH HOLY DAYS,2026
WELTERWEIGHT (JR),2026
WHITE HOUSE FELLOWS,2026
KHRUSHCHEV VISIT,2026
ORE PRIMARY RESULTS,2026
1ST AP 16 PAR,2026
Ears and Hearing,2026
PREP SCHOOLS,2024
DENOMINATIONAL INSTITUTIONS,2024
INDUSTRIAL RESEARCH,2024
ANTHROPOLOGY (PHYSICAL),2024
"RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITY, INCLUDING NEGRO REGIS UNDER '65 VOTING RIGHTS ACT",2024
LIBRARIES,2024
PRESS CONFS,2024
1973 SESSION,2024
FED-LOCAL GOVTS RELATIONS,2024
EXHIBITS AND FAIRS,2024
SHASTRI VISIT TO USSR,2024
HUMAN RESOURCES ADM,2024
PRISONERS,2024
VATICAN-UNITED STATES RELATIONS,2024
CZECHOSLOVAKIAN,2024
"WELFARE CONFERENCE, NATIONAL CATHOLIC",2024
AGE VOTING,2022
WORLD'S FAIR OF 1968 (SAN ANTONIO) (HEMISFAIR '68),2022
"FOREIGNERS, TAXATION OF",2022
"ECONOMIC AND SOCIAL DEVELOPMENT, NATIONAL CONFERENCE ON INTERNATIONAL",2022
REGIS AND CAR LICENSES,2022
RUMANIAN MISSION IN NORTH VIETNAM,2022
Offshore Exploration and Installations,2022
GENOCIDE,2022
S VIETNAM ECONOMIC AND SOCIAL REFORM PROGRAM - US ROLE IN PROGRAM,2022
GUERRILLA WARFARE UNITS AND OTHER SPECIAL FORCES,2022
FREIGHT CARS,2022
TAXATION OF ADVERTISING,2022
Outdoor Advertising,2022
SPEEDS (GEN),2022
SUP CT,2020
6TH N 1 PAR,2020
US STATE PROGRAMS,2020
PEACE PARTIES,2020
BALZAN PRIZES,2020
LAW,2020
Musical Instruments,2020
UNITED NATIONS PERSONNEL AND PERSONNEL OF OTHER INTERNATIONAL ORGANIZATIONS,2020
"ATMOSPHERE, LOWER",2020
ECON (GEN),2020
JUNE 3 PAR,2020
Snakes,2018
INVESTIGATION,2018
SURPLUS AND RESERVE,2018
"RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES - US SUP CT UPHOLDS CONST OF '65 VOTING RIGHTS ACT - NEGRO ARMY CAPT WOUNDED BY SNIPER, BOGALUSA, LA",2018
RENTALS,2018
CIVIL RIGHTS MOVEMENT AND PROBLEMS (GEN) - MOST WITNESSES AT SEN SUBCOM HEARINGS ON URBAN PROBLEMS EQUATE PROBLEMS OF CITIES WITH PROBLEMS OF NEGRO GHETTOS,2018
MOSLEMS,2018
US FINANCING OF WAR COSTS AND AID TO SOUTH VIETNAM,2018
1ST AP 1 PAR,2018
1ST O 17 PAR,2018
PORTUGUESE DEPENDENCIES (GEN),2016
CABINET AND SUB‐CABINET,2016
AFL-CIO AND ILA BOYCOTT OF SHIPS CARRYING TRADE TO N. VIETNAM,2016
Presidential Election of 1944,2016
TRUMAN ADMINISTRATION,2016
USSR AID TO N VIETNAM,2016
TRADE AND BUSINESS PUBLICATIONS,2016
LAND USE (PUBLIC AND PRIVATE),2014
REDISTRICTING ISSUE,2014
LANGUAGE AND SPEECH,2014
SCHOOL CROSSINGS,2014
RETAIL TRADE,2014
WEAPONS (GENERAL,2014
CANADA-UNITED STATES DEFENSE PROGRAM,2014
IZVESTIA (USSR NEWSPAPER),2014
RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES - NEGRO VOTER REGIS GAINS UNDER '65 VOTING RIGHTS ACT NOTED,2012
UNIFICATION,2012
LANGUAGE,2012
COASTAL SERVICES,2012
WASHINGTON (DC) POST AND TIMES HERALD,2012
POSEIDON,2012
PENSIONS,2010
HOLIDAYS,2010
Stroke,2010
BOOKS AND LITERATURE - MAGAZINE ARTICLES,2010
RECIPROCAL TREATIES AND ACT,2010
DRUNKEN DRIVING,2010
ILLINOIS PRIMARY RESULTS,2010
PRES CANDIDATES BRIEFING BY JOHNSON ADM,2010
VOTING RIGHTS ACT OF 1965,2010
"PLANTS, LABS AND SITES (GEN)",2010
PHYSICALLY HANDICAPPED STUDENTS,2010
LIBEL SUITS AGAINST NY TIMES,2010
GOV SCRANTON ANNOUNCES CANDIDACY - ACTIVITIES,2008
NE BLACKOUT,2008
TAX STAMP,2008
CALIF PRIMARY RESULTS,2008
"ACTIVITIES OF REPR W E MILLER, REPUB VICE PRES NOMINEE",2008
7TH O 16 PAR,2006
JOURNALISTS TRAINING,2006
"JUSTICES, CONFERENCE OF STATE CHIEF",2006
TRIBUTES AND HONOR,2006
'BIG GOVERNMENT' ISSUE,2006
ERHARD VISIT TO US,2004
GEN COMMENT - CAMPAIGN OUTLOOK,2004
PRESIDENTIAL ELECTION OF '56,2004
MESSAGE TO LEGISLATURE,2004
JL 29 PAR,2004
TRAILERS AND RECREATIONAL VEHICLES,2004
FAMILY CT,2004
SUBWAY STATIONS,2004
Production,2004
ELEC LIGHT,2002
HOUSEHOLD STAFF,2002
WEATHER CONTROL,2000
BUSES (GEN),2000
NH PRIMARY RESULTS,1998
KINGS DISTS,1998
Inaugurations,1998
CONSERVATION,1998
ADVISORY BODIES,1996
"GOVERNORS CONFERENCE, REPUBLICAN",1996
POPULATION SHIFTS,1996
AMERICAN INDEPENDENT PARTY PLATFORM,1994
SOCIAL CONDITIONS,1992
RELATIONS WITH JUDICIARY,1992
"DRIVERS HABITS, LICENSING AND TRAINING",1992
BIG GOVT ISSUE - STRONG PRES ISSUE - FED-LOCAL GOVT RELATIONS,1990
LOS ANGELES TIMES,1990
JAYCEES,1990
LINDSAY CANDIDACY,1986
CHILD ABUSE,1986
FOREIGN ROTATIONS AND SERVICE,1986
CONSERVATISM ISSUE - COMMUNISM ISSUE - SOCIALISM ISSUE - EXTREMISM ISSUE - ISSUE OF HUMPHREY'S POSSIBLE SUCCESSION TO PRES,1984
DISRCRIMINATION,1984
CZECH PREMIER LENART VISIT TO N VIETNAM,1984
GOVERNMENT EMPLOYES USE,1982
DIARIO DE NUEVA YORK-LA PRENSA (NEWSPAPER),1982
"WATER SUPPLY, GAS AND ELECTRICITY",1980
PRESS COVERAGE,1980
SIGNALS AND SIGNS,1978
ROAD CONDITIONS AND DESIGN,1974
"News Sources, Confidential Status of",1972
FED-LOCAL GOVT RELATIONS - STATES RIGHTS ISSUE - BIG GOVT ISSUE,1968
BIG GOVT ISSUE - FED-LOCAL GOVT RELATION,1962
CRITICS AND CRITICISM,1958
INLAND SERVICES,1954
FED-LOCAL GOVT RELATIONS - BIG-GOVT ISSUE - STATES' RIGHTS ISSUE,1952
LIE DETECTORS,1920
MENDELEVIUM,1026
Cheetahs,1026
SATURDAY REVIEW/WORLD (PUB),1026
UNIDENTIFIED FLYING OBJECTS,1026
Parkinson's Disease,1026
"COAL POLICY CONFERENCE, NATIONAL",1026
Honey,1026
STOCK AND BONDS,1026
NINETEEN HUNDRED AND SIXTY-FOUR,1026
Wigs,1026
MICROFILMS AND OTHER MICRO-REPRODUCTIONS,1026
MOTORCYCLES AND MOTOR SCOOTERS,1026
Monkeys and Apes,1026
Mosquitoes,1026
CARNIVALS (AMUSEMENT SHOWS),1026
BURKITT'S LYMPHOMA,1026
DATA-PROCOSSING MACHINES,1026
Potash,1026
FRANCO-PRUSSIAN WAR (1870-71),1026
PORTUGUESE MEN-OF-WAR (JELLYFISH),1026
Pens and Pencils,1026
Copying Machines,1026
Rabies,1026
HUMANIST MANIFESTO,1026
Cricket,1026
Elephants,1026
PHOSPHATES,1026
Croquet,1026
TRAILERS (AUTO) AND TRAILER CAMPS,1026
MACCABIAH GAMES,1026
FLUIDICS,1026
MEXICAN WAR (1846-48),1026
Cider,1026
Encyclopedias,1026
Lighthouses and Lightships,1026
PLAYBOY CLUBS,1026
Caves and Caverns,1026
HERBICIDES,1026
DOWSING,1026
AIRSHIPS,1026
LEWIS AND CLARK EXPEDITION (1803-05),1026
Encephalitis,1026
"SUN, INTERNATIONAL YEAR OF THE QUIET (IQSY) (1964-65)",1026
Grasshoppers,1026
Handicrafts,1026
GREAT NORTHERN PACIFIC & BURLINGTON LINES (PROPOSED),1026
ANTACIDS,1026
TOGO,1026
GRAND FORKS (ND) HERALD,1026
Pituitary Gland,1026
DEFOLIANTS,1026
FLAVORING AIDS,1026
Helium,1026
"QUEENS, CHAMBER OF COMMERCE OF THE BOROUGH OF",1026
CITIZENS EXCHANGE PROGRAM,1026
Aspirin,1026
DICTATION MACHINES,1026
Oysters,1026
PHILANTHROPHY,1026
Luggage,1026
Sewing,1026
LOBO SUGAR COS,1026
MAPLE SUGAR AND SYRUP,1026
HOMEOWNERS COMBINATION INSURANCE,1026
Ice Cream and Frozen Desserts,1026
X-Rays,1026
Oxygen,1026
Impersonations,1026
VETERANS DAY AND WEEK,1026
DISCOUNT SELLING (RETAIL),1026
PARATHYROID HORMONE,1026
Candy,1026
PUBLIC OPINION,1026
HARPER'S MAGAZINE,1026
MATES FINANCIAL SERVICES,1026
BATHROOMS,1026
JOUSTING,1026
Vikings,1026
VOLUNTEERS (IN COMMUNITY SERVICE),1026
Geology,1026
MUMMERS,1026
DEATHS (GENERAL),1026
Anesthesia and Anesthetics,1026
Pentecostal Churches,1026
Sleep,1026
MATERIALS HANDLING EQUIPMENT,1026
Lead,1026
MICROSCOPES AND MICROSCOPY,1026
THORIUM,1026
CABLE CARS,1026
ANTI-FREEZE SOLUTIONS,1026
Nylon,1026
Olympic Games (1976),1026
INTRAVENOUS FLUIDS,1026
AUSTRONAUTICS,1024
PROTESTANT EPSICOPAL CHURCHES,1024
JESUITS,1024
FRENCH AND INDIAN WARS (1689-1763),1024
ENG CHANNEL CROSSINGS,1024
LOPEZ MATEOS VISIT TO US,1024
Nitrogen,1024
Crabs,1024
Ulcers,1024
TRANSPLANTS AND ARTIFICIAL DEVICES,1024
MOLNIYA I,1024
SAILORS SNUG HARBOR,1024
CURIUM,1024
DAMAGE SUITS,1024
CHLORINE,1024
RANGER VI,1024
Palaces and Castles,1024
BLACK MARKETEERING BY US PERSONNEL - THEFTS FROM US POST EXCHANGES,1024
MISCELLANEOUS MATERIAL ON US TROOPS AND CIVILIAN PERSONNEL,1024
REPORTED CAMBODIAN INVOLVEMENT,1024
ZOND III (LAUNCHED JULY 18 '65),1024
Smuggling,1024
OCTUPLETS,1024
USSR PROTECTS,1024
USSR LUNAR PROBE VI (LAUNCHED JUNE 8 '65),1024
4TH O 23 PAR,1024
COMMONWEALTH OF NATIONS,1024
LUNA 9,1024
"Jockeys, Drivers and Trainers",1024
Windows,1024
APPEALS ('63 DRIVE),1024
Office Equipment,1024
War of 1812,1024
EROS PROJECT,1024
HATCH ACT,1024
SELF‐INCRIMINATION,1024
Lamps and Lampshades,1024
RACIAL PROBLEMS IN THE NORTH,1024
ST VALENTINE'S DAY,1024
Holography,1024
PASSAMAQUODDY BAY TIDAL POWER PROJECT,1024
REGIONAL PLAN ASSN REPTS,1024
EXCURSION AND SIGHT-SEEING BOATS,1024
UN CONF ON APPLICATION OF SCIENCE AND TECH,1024
"RANGER VIII (US LUNAR PROBE, LAUNCHED FEB 17 '65)",1024
INEZ ('66),1024
EX-POWS SMITH AND MCCLURE,1024
Butterflies and Moths,1024
Muscular Dystrophy,1024
"LOST, MISSING AND RUNAWAY",1024
NEGLIGENCE CASES (GENERAL),1024
CITIES SERVICE COMPANIES,1024
Beetles,1024
AUSTRALIA ANTIGEN,1024
FORTUNETELLERS,1024
ARAB-ISRAELI TRUCE - BORDER INCIDENTS,1024
IN FLIGHT,1024
US ACCIDENTS AND SAFETY,1024
Puzzles,1024
MEDICAL AID TO N VIETNAM AND VIETCONG,1024
POPE'S AND RC CH PEACE EFFORTS,1024
VOICE PRINTS,1024
COMMUNIST ANTI-US RESOLUTIONS IN UN,1024
CARBON BLACK,1024
Nationalization of Industry,1024
ENCEPHALOMYELITIS,1024
DAWSONITE,1024
INTERLOCKING DIRECTORATES,1024
LEATHER AND LEATHER GOADS,1024
CHOCO SEAWAY PROJECT,1024
MILITARY AID TO US AND S VIETNAM,1024
STAPHYLOCOCCUS AUREUS (BACTERIA),1024
TONGA,1024
Nineteen Hundred Fifties,1024
DEMOCRATIC WOMEN'S CAMPAIGN CONFERENCE,1024
RESUSCITATION,1024
PIPE,1024
Musk Oxen,1024
SEX CRIME,1024
"ARCHIVES, NATIONAL",1024
BANDARANAIKE VISITS ABROAD,1024
SHOW,1024
Games,1024
"Lost, Missing and Runaway Children",1024
AMATEUR,1024
GEMINI 8 (LAUNCHED MAR 16 '65),1024
HATS (MEN'S),1024
Light,1024
HYPERKINESIS,1024
NEWARK (NJ) NEWS,1024
Maps,1024
COTTON MFG AND GOODS,1024
KOSYGIN-WILSON EXCH VISITS,1024
THERMAL POLLUTION,1024
ANALGESICS,1024
"CATHOLIC BISHOPS, NATIONAL CONFERENCE OF",1024
STEEPLECHASES,1024
VIETCONG CALL FOR INTENSIFIED POLITICAL STRUGGLE,1024
RACIAL PROBLEMS AND SEGREGATION IN THE SOUTH - GOVT STUDY SHOWS EXODUS OF NEGROES FROM SOUTH TO NORTH AND WEST - TUSKEGEE INST STUDENTS RIOT IN PROTEST AGAINST ACQUITTAL OF WHITE MAN IN NEGRO SLAYING,1024
"RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES - 5 NEGROES WOUNDED, BIRMINGHAM, ALA - CITYWIDE BOYCOTT OF WHITE MERCHANTS PLANNED - NEW EVIDENCE DISCOVERED IN RACIAL BOMBINGS, BIRMINGHAM",1024
Spices,1024
LI SOUND CROSSINGS,1024
FRENCH‐UNITED STATES,1024
"WORKERS CHILDREN, PROGRAMS FOR",1024
Blood Vessels,1024
NEW JERSEY-NEW YORK INTERSTATE SYSTEM,1024
BOOK REVIEWS (GENERAL),1024
LOS ANGELES RIOTS,1024
RACES,1024
HORNETS,1024
"FLUORIDES, USE OF",1024
CANDY AND CANDY TRADE,1024
Cats,1024
CYCLIC AMP,1024
APPLES,1024
EMPLOYE STOCK OPTIONS,1024
RACIAL SEGREGATION IN THE SOUTH - INCIDENTS OF VIOLENCE - TWO GRAND JURIES OPEN PROBES INTO SLAYING OF THREE CIVIL RIGHTS WORKERS IN MISSISSIPPI AND VIOLATIONS OF CIVIL RIGHTS THERE - LAWSUITS OVER ENFORCEMENT OF CIVIL RIGHTS ACT,1024
RACIAL SEGREGATION IN THE SOUTH - INCIDENTS OF VIOLENCE - LAWSUITS OVER ENFORCEMENT OF CIVIL RIGHTS ACT,1024
"OGO (ORBITING GEOPHYSICAL OBSERVATORY, LAUNCHED SEPT 4, '64)",1024
AMERICAN HOME (PUB),1024
US DOMESTIC REACTION TO WAR,1024
PORPHYRIA,1024
LEARNING,1024
Nudism and Nudity,1024
AMUSEMENT PARKS,1024
"MARINER IV (US MARS PROBE, LAUNCHED NOV 28 '64)",1024
Paralysis,1024
SEVENTH REGIMENT ARMORY,1024
CANARIES,1024
LUK KIDNAPPING CASE,1024
NATIONAL AIRLINES,1024
Bobsledding,1024
PACIFICATION PROGRAM FOR S VIETNAM - OTHER MOVES TO COUNTERACT VIETCONG,1024
MISCELLANEOUS MATERIAL ON US TROOPS AND OTHER US PERSONNEL,1024
S VIETNAMESE AND VIETCONG DESERTIONS,1024
PRISONERS AND INTERNED CIVILIANS,1024
CENTENNIAL,1024
INTERNATL COOPERATION YR (1965) (UN),1024
Mononucleosis,1024
APPEALS ('68 DRIVE),1024
"RACIAL PROBLEMS AND GAINS IN THE NORTH, INCLUDING THE MIDWEST",1024
DISEASES,1024
MISCELLANEOUS MATERIAL ON US TROOPS AND VETERANS,1024
"GEMINI 9 (US MANNED ORBITAL FLIGHT, LAUNCHED JUNE 3 1966)",1024
REGATTAS,1024
N 17 PAR,1024
JOSEPH P KENNEDY JR (US DESTROYER),1024
JUPITER,1024
PARROTS AND PARAKEETS,1024
SATURDAY REVIEW (PUB),1024
Christmas Trees,1024
RURAL PACIFICATION IN S VIETNAM AND OTHER US AID PROGRAMS,1024
ELECTORAL COLL AND PROPOSALS TO CHANGE ELECTORAL PROCEDURES,1024
ELIZABETH II VISIT,1022
DRAMA DESK (ORGN),1022
STOCK OPTIONS,1022
Daylight Saving Time,1022
MOLYBDENUM,1022
World University Games,1022
WORLD JOURNAL TRIBUNE (NYC),1022
"WATERS, TERRITORIAL",1022
ACROBATS AND ACROBATICS,1022
DISCOVERER XXXV (US SATELLITE LAUNCHED NOV 15 '61),1022
US MILITARY BUILD-UP - US BOMB AND MATERIEL SHORTAGES,1022
MINERALS,1022
RUBY CHANGE-OF-VENUE HEARING - PREPARATIONS FOR TRIAL,1022
PROTESTANT COUNCIL OF THE CITY OF NY,1022
ZOND 6,1022
PROTON 4,1022
'72 GAMES,1022
ELECTORAL COLL,1022
ASPHYXIATION AND SUFFOCATION,1022
NURSING (LACTATION),1022
Cheating,1022
US RECONNAISSANCE FLIGHTS - BOMBING OF N VIETNAM RESUMED,1022
LUNA 18,1022
Leisure,1022
LIGHT-HEAVYWEIGHT,1022
USSR MARS ROCKET II (LAUNCHED NOV 30 '64),1022
SOLAR OBSERVATORY SATELLITE I (US SATELLITE LAUNCHED MAR 7 '62),1022
LIABILITY INSURANCE,1022
Ceramics and Pottery,1022
ARROW (TANKER),1022
SURVEYOR 7,1022
JERICHO,1022
US MANNED ORBITAL FLIGHT I,1022
HO CHI MINH TRAIL IN LAOS,1022
COMMERCE AND INDUS DEVELOPMENT,1022
SPANISH DEPENDENCIES (GEN),1022
AFTERMATH,1022
GRADING CASES (NY AREA HSS),1022
SCHISTOSOMIASIS (BILHARZIASIS),1022
PEOPLE-TO-PEOPLE PROGRAM,1022
1ST JUNE 20 PAR,1022
JUNE 14 PAR,1022
MISC PEACE MOVES,1022
URBAN AND REGIONAL PLANNING,1022
ELECTRIC CIRCUS (NYC),1022
BULLPUP,1022
TYPEWRITERS,1022
NYC AREA RACKETS PROBE,1022
BIRCH SOCIETY MEMBERSHIP ISSUE,1022
MOLECULES,1022
ARMORED CAR SERVICES,1022
CHURCHES’ TAX EXEMPTIONS,1022
REA EXPRESS,1022
VENUS 3,1022
"MEMPHIS, TERM",1022
BRIT-US SATELLITE I (LAUNCHED APRIL 26 '62),1022
AEROSPACE,1022
INS AND LIABILITY (GEN),1022
FOOD DRUG AND COSMETIC REGULATION (US),1022
SOC CONDITIONS,1022
FIGHT TO WREST REPUB PARTY CONTROL FROM GOLDWATER FACTION,1022
DEC 30 PAR,1022
THIEVERY AND BLACK MARKET IN SAIGON OF US POST EXCHANGE GOODS - HUGE LOSSES IN US AID,1022
Orphans and Orphanages,1022
"ARMAMENT, DEFENCE AND MILITARY FORCES",1022
BRIT COAST (TORREY CANYON) INCIDENT,1022
CIVIL RIGHTS ACT OF 1964,1022
PIONEER 10,1022
HYDROGEN FUSION PROCESS,1022
GROUPS,1022
BIOSATELLITE 2,1022
PASSPORT FRAUDS,1022
ISSUE OF ORDERLY TRANSITION BETWEEN ADMS,1022
Prefabricated Buildings,1022
Pornography,1022
TRADE PRACTICES,1022
BOOKS AND PUBLICATIONS,1022
PEABODY CONSERVATORY OF MUSIC,1022
"PRENSA, LA (NYC NEWSPAPER)",1022
JUNIOR COLLEGES,1022
SERVICE CHARGES,1022
RACIAL PROBLEMS AND SEGREGATION IN THE SOUTH,1022
ASYLUM,1022
UNITED,1022
"DALAI LAMA (JETSUN JAMPEL NGAWANG LHASANG YISHEY TENSING GYATSA, 14TH DALAI LAMA OF TIBET)",1022
BKLYN-SI DISASTER ('60),1022
FURTNER DATA ON RUBY CASE,1022
LUNA 14,1022
OVER‐THE‐COUNTER TRADING,1022
LUNA PROJECT,1022
Grading of Students,1022
HAPPENINGS,1022
CHICHESTER (ENG) FESTIVAL,1022
ARTHRITIS AND RHEUMATISM,1022
BREEDER REACTOR INTERNATL PROJECT,1022
FOREIGN POPULATION AND FOREIGN‐DESCENT GROUPS,1022
"TELSTAR 1 (US COMMUNICATIONS SATELLITE, LAUNCHED JULY 10 '62)",1022
Skin,1022
CLEVELAND PLAIN DEALER,1022
"GOVERNORS CONFERENCE, MID-ATLANTIC",1022
"MONEY, LOST AND FOUND",1022
CCC STOCKS AND SALES,1022
"GRADING CASES (NEW HAVEN, CONN, HS)",1022
"Asylum, Right of",1022
GEMINI 7,1022
SPORT,1022
WHEELS,1022
INONU VISIT TO US,1022
WARREN COMM REPTDLY WILL REJECT THEORIES OF CONSPIRACY CIRCULATED ABROAD - ROUNDUP OF OPINION FROM EUR CAPITALS - COMM HEARINGS - FURTHER DATA ON OSWALD,1022
ZOND 4,1022
FLOWERS AND FLORISTS,1022
WEDNESDAY'S (NYC CABARET),1022
TEEN-AGE GANGS,1022
HEPTANOIC ACID,1022
STRATFORD (ONT) SHAKESPEAREAN FESTIVAL,1022
SUBROC,1022
NYSE ANTITRUST CASES,1022
MIDAS (MISSILE DEFENSE ALARM SYSTEM) PROJECT,1022
TV USE BY 'LEGITIMATE' THEATRES,1022
Arabs,1022
JAPANESE MAINLAND,1022
"RACIAL PROBLEMS AND CIVIL RIGHTS MOVEMENT IN THE NORTH, INCLUDING THE MIDWEST",1022
Wallpaper,1022
NEW YORK POST,1022
BELLS AND CARILLONS,1022
GEN EAST-WEST CONFRONTATION - JOHNSON APPEALS TO RUSSIAN PEOPLE FOR NEW ERA OF AMITY,1022
USSR COMMUNIST PARTY CONGRESS,1022
"FOOTBALL, RUGBY",1022
WORLD'S FAIR OF 1976,1022
"NATO AND EUROPEAN REGIONAL ORGANIZATIONS, US MISSION TO",1022
EUR POOL,1022
Mormons (Church of Jesus Christ of Latter-Day Saints),1022
FLORA ('63),1022
PAN AMER,1022
MIDDLEWEIGHT,1022
Gravitation and Gravity,1022
"WELFARE, NATIONAL CONFERENCE ON SOCIAL",1022
CANNES INTERNATL,1022
VENERA 5 AND VENERA 6,1022
JR AND COMMUNITY COLLS,1022
FIRE-HEALTH HAZARDS,1022
TESTS OF WEAPONS (GENERAL),1022
Diverticulosis,1022
BOYS TOWNS,1022
SMOTHERS BROS COMEDY HR,1022
Jai Alai,1022
1ST JAN 16 PAR,1022
MARTIAL AND MILITARY JUSTICE,1022
SERMONS,1022
CHINA BORDER,1022
VENERA 7,1022
US MANNED ORBITAL FLIGHT III (OCT 3 '62),1022
WORLD'S FAIR OF '64 (NYC),1022
FRENCH AND INDIAN WARS (1754-63),1022
TELSTAR SATELLITES,1022
MILITARY ACTION IN DEMILITARIZED ZONE,1022
ASPIRIN AND SIMILAR ANALGESICS,1022
EXPLORER PROJECT,1022
MAGNESIUM,1022
PUB BROADCAST LAB,1022
"REVOLUTIONARY WAR, AMERICAN (1775-1783)",1022
DIRECT MAIL,1022
FURTHER DATA ON OSWALD: PRES (WARREN) COMM PROBE,1022
Palm Oil,1022
EXPLORER XVI (US SATELLITE LAUNCHED DEC 16 '62),1022
"RELAY I (US COMMUNICATIONS SATELLITE, LAUNCHED DEC 14 '62)",1022
NIKE-ZEUS,1022
SEALS AND SEALING,1022
ARTIFICIAL INSEMINATION,1022
"GEMINI III (US 2-MAN ORBITAL FLIGHT I, MAR 23 '65)",1022
Design,1022
"BOBM PLOT AGAINST STATUE OF LIBERTY, WASHINGTON MONUMENT AND LIBERTY BELL",1022
COMPOSERS,1022
CUBAN,1022
EMERGENCY RELIEF FORCE (PROPOSED),1022
NE WIN (PREMIER),1022
"ABOUT 500 INDIANS PROTESTING INJUSTICES TAKE CONTROL OF BUR OF INDIAN AFFAIRS BLDG ON NOV 2 FOLLOWING SCUFFLES WITH POLICE OUTSIDE AND INSIDE BLDG ‐NO ARRESTS ARE MADE, AND NIXON ADM OFFICIALS SAY PROTESTERS WILL BE PERMITTED TO STAY IN BLDG FOR NIGHT ‐NEGOTIATIONS BETWEEN INDIAN LEADERS AND ADM OFFICIALS RECESS WITHOUT RESOLUTION AND WILL CONTINUE ON NOV 3 ‐WINDOWS ARE REPTDLY BROKEN AND FURNITURE IS RIPPED APART DURING MELEE TO PROVIDE INDIANS WITH CLUBS ‐INFORMATION OFFICER C SHAW SAYS SOME DUPLICATING MACHINES WERE OVERTURNED AND PAPERS FROM OFFICES OF INFORMATION SEC WERE SCATTERED THROUGH HALLS ‐LEADERS OF PROTESTERS, WHO ARE MEMBERS OF MILITANT AMER INDIAN MOVEMENT, MEET WITH VARIOUS OFFICIALS, INCLUDING WHITE HOUSE ASST B PATTERSON ‐GROUP VOWS TO STAY UNTIL GOVT PROVIDES ADEQUATE HOUSING, FOOD AND FUNDS FOR WK‐LONG PROTEST AGAINST 'BROKEN TREATIES AND FAILURE OF THE GOVT TO CARRY OUT TRUST RESPONSIBILITIES",1022
NEWARK NEWS (NJ),1022
"POSTAL FORUM, NATIONAL",1022
CCSMOS 22,1022
LAOTIAN AND CAMBODIAN INVOLVEMENT,1022
VOSTOK 5,1022
COMMUNIATIONS SATELIITES,1022
OAO (ORBITING ASTRONOMICAL OBSERVATORY) 2,1022
English Language,1022
Turkeys,1022
MAURER VISITS TO CHINA,1022
ACTIVITIES OF OSWALD'S WIDOW AND MOTHER - WARREN COMM HEARINGS,1022
EASTERN,1022
NATIONAL HOCKEY LEAGUE (NHL),1022
PREAKNESS,1022
Jupiter (Planet),1022
SANFORD AND SON (TV PROGRAM),1022
"CARAMOOR FESTIVAL (KATONAH, NY)",1022
"BECKETT, SAMUEL, FESTIVAL",1020
EUR-ASIATIC,1020
MIDDLETOWN ROAD-JARVIS AV PROJECT (BRONX),1020
"NE BLACKOUT (NOV 9, '65)",1020
WARREN COMM HEARINGS ON OSWALD,1020
SERBIAN,1020
' ILLUS OF PROTESTERS,1020
MACHINE TOOLS,1020
GEMINI 10 (LAUNCHED JULY 18 '66),1020
Drones (Pilotless Planes),1020
JOHNSON PLAN,1020
RIAS,1020
AFTERMATH OF RUBY TRIAL - DEFENSE COUNSEL BELLI REPLACED,1020
Speed Limits and Speeding,1020
TERMINALS,1020
SPECIFIC PROGRAMS,1020
"RACIAL PROBLEMS AND CIVIL RIGHTS DEMONSTRATIONS IN THE NORTH, INCLUDING THE MIDWEST",1020
QUEEN ELIZABETH (RMS),1020
FRAUDS AND OTHER ABUSES,1020
BRIT DEPENDENCIES (GEN),1020
AMER,1020
US PACIFISTS A J MUSTE AND OTHERS IN S VIETNAM - THEIR EXPULSION,1020
METAL,1020
Vandalism,1020
"RANGER VI (US LUNAR PROBE, LAUNCHED JAN 30 '64)",1020
AMERICIUM,1020
LONDON SUNDAY TIMES,1020
AMERIKA (PUB),1020
"COMMEM FUNDS, NAMINGS, COINS, STAMPS",1020
TV DEBATES BETWEEN DEM AND REPUB CANDIDATES (PROPOSED),1020
FURTHER DATA ON OSWALD - PRES (WARREN) COMM PROBE,1020
"FREEDOM OF INFORMATION, THOUGHT AND EXPRESSION",1020
EXPLORER XII (US SATELLITE LAUNCHED AUG 15 '61),1020
KENNEDY INTERNATL,1020
Mumps,1020
"TASK FORCE APPOINTED BY PRES JOHNSON TO PLAN ATTACK ON HUNGER, IGNORANCE AND DISEASE IN S VIETNAM",1020
PUBLIC BUILDINGS,1020
DODD CASE,1020
AUTO HORNS AND OTHER TRAFFIC NOISE,1020
GAMMA RAYS,1020
"MORRISON, DELESSEPS STORY",1020
UN RESOLUTION AGAINST INTERVENTION IN INTERNAL AFFAIRS,1020
"GEMINI VI (US 2-MEN ORBITAL FLIGHT V, LAUNCHED DEC 15 '65",1020
"POVERTY, CITIZENS CRUSADE AGAINST",1020
PUGWASH CONFERENCES ON WAR IN THE NUCLEAR AGE,1020
PHILADELPHIA DAILY NEWS,1020
UNITED NATIONS DAY AND WEEK,1020
LADIES HOME JOURNAL (PUB),1020
LUNAR ORBITER 2,1020
WILLIS AND ESTATES,1020
WIRETAPPING,1020
"FOREIGN RELATIONS, COUNCIL ON",1020
THERAPY,1020
Milk,1020
